ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
206,vectorized_elementwise_kernel,6.49,108,87.16,87.16,92.15,100,0,49.16
207,vectorized_elementwise_kernel,6.49,108,87.31,87.31,92.14,100,0,48.75
208,vectorized_elementwise_kernel,7.84,108,87.76,87.76,92.02,100,0,48.72
209,vectorized_elementwise_kernel,8.62,108,84.20,84.20,88.84,100,0,61.85
210,vectorized_elementwise_kernel,8.57,108,84.38,84.38,88.51,100,0,61.76
211,vectorized_elementwise_kernel,8.56,108,83.51,83.51,88.36,100,0,61.34
212,vectorized_elementwise_kernel,8.59,108,84.19,84.19,88.75,100,0,61.96
213,vectorized_elementwise_kernel,6.47,108,87.07,87.07,92.22,100,0,48.72
214,vectorized_elementwise_kernel,6.46,108,86.62,86.62,91.83,100,27.52,44.34
215,vectorized_elementwise_kernel,8.58,108,84.47,84.47,88.83,100,0,61.58
216,vectorized_elementwise_kernel,6.46,108,86.63,86.63,91.90,100,27.47,44.29
217,ampere_sgemm_128x32_tn,89.18,108,80.40,2.45,45.63,50,0.13,96.68
218,ampere_sgemm_64x32_sliced1x4_nt,92.93,108,52.99,6.38,23.89,25,0.08,82.82
219,reduce_kernel,12.19,108,59.96,59.96,58.71,62.50,4.90,20.83
220,vectorized_elementwise_kernel,0.04,108,0.61,0.21,6.11,100,0,83.34
221,vectorized_elementwise_kernel,6.90,108,43.93,37.66,72.70,100,0,51.71
222,layer_norm_grad_input_kernel_vectorized,37.34,108,66.10,66.10,65.03,75,44.42,53.50
223,GammaBetaBackwardCUDAKernel_32x32,12.18,108,37.75,37.75,49.91,100,0.09,18.52
224,vectorized_elementwise_kernel,6.64,108,73.59,73.59,87.82,100,29.20,40.55
225,vectorized_elementwise_kernel,0.02,108,0.49,0.09,6.02,100,0,89.96
226,vectorized_elementwise_kernel,0.02,108,0.50,0.09,6.19,100,0,89.26
227,vectorized_elementwise_kernel,15.37,108,68.75,68.75,84.70,100,0,54.41
228,ampere_sgemm_128x32_tn,87.78,108,80.22,2.45,45.64,50,0.52,97.34
229,ampere_sgemm_64x32_sliced1x4_nt,82.27,108,46.89,5.95,20.85,25,0.08,81.48
230,reduce_kernel,9.17,108,32.63,32.63,41.20,62.50,8.29,6.76
231,vectorized_elementwise_kernel,0.02,108,0.50,0.10,6.20,100,0,90.23
232,vectorized_elementwise_kernel,4.05,108,19.01,18.91,43.10,100,0,53.56
233,vectorized_elementwise_kernel,6.39,108,76.09,76.09,88.07,100,0,46.20
234,reduce_kernel,75.86,108,23.93,23.93,90.24,100,10.44,8.62
235,elementwise_kernel,6.20,108,12.10,3.28,20.29,100,0,86.52
236,vectorized_elementwise_kernel,14.50,108,24.16,4.47,9.28,100,0,98.64
237,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,37.01,108,30.20,11.39,12.14,12.50,17.08,81.17
238,CatArrayBatchedCopy_aligned16_contig,57.31,108,75.63,75.63,90.82,100,60.00,62.96
239,ampere_sgemm_128x32_tn,88.78,108,80.16,2.26,45.65,50,0.18,97.18
240,ampere_sgemm_128x32_sliced1x4_nt,98.01,108,40.36,4.94,12.50,12.50,0,85.29
241,reduce_kernel,12.43,108,54.22,54.22,55.45,62.50,6.38,19.66
242,vectorized_elementwise_kernel,0.04,108,0.53,0.17,6.20,100,0,87.34
243,vectorized_elementwise_kernel,6.61,108,39.06,33.30,67.04,100,0,51.91
244,layer_norm_grad_input_kernel_vectorized,37.13,108,65.56,65.56,65.28,75,44.24,54.35
245,GammaBetaBackwardCUDAKernel_32x32,12.21,108,38.15,38.15,49.91,100,0.09,18.89
246,vectorized_elementwise_kernel,6.59,108,72.88,72.88,87.96,100,29.07,41.06
247,vectorized_elementwise_kernel,0.02,108,0.46,0.09,6.19,100,0,89.12
248,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.19,100,0,90.60
249,vectorized_elementwise_kernel,15.59,108,68.94,68.94,85.24,100,0,54.34
250,ampere_sgemm_128x64_tn,95.87,108,48.16,2.05,23.96,25,0.36,98.52
251,ampere_sgemm_128x128_nt,98.50,108,31.89,3.97,23.45,25,0.04,77.82
252,reduce_kernel,9.07,108,31.90,31.90,41.59,62.50,8.30,6.96
253,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.21,100,0,88.80
254,vectorized_elementwise_kernel,7.29,108,44.37,38.01,72.71,100,0,52.76
255,vectorized_elementwise_kernel,6.49,108,87.66,87.66,92.03,100,0,49.22
256,vectorized_elementwise_kernel,6.51,108,87.39,87.39,92.01,100,0,48.73
257,vectorized_elementwise_kernel,7.85,108,87.48,87.48,92.08,100,0,48.66
258,vectorized_elementwise_kernel,8.59,108,84.46,84.46,88.68,100,0,61.30
259,vectorized_elementwise_kernel,8.62,108,84.24,84.24,88.62,100,0,61.60
260,vectorized_elementwise_kernel,8.50,108,83.84,83.84,88.58,100,0,61.49
261,vectorized_elementwise_kernel,8.62,108,84.58,84.58,88.53,100,0,61.52
262,vectorized_elementwise_kernel,6.48,108,87.54,87.54,92.46,100,0,48.73
263,vectorized_elementwise_kernel,6.46,108,86.74,86.74,91.99,100,27.56,44.15
264,vectorized_elementwise_kernel,8.57,108,84.63,84.63,88.45,100,0,61.90
265,vectorized_elementwise_kernel,6.48,108,86.62,86.62,91.89,100,27.44,44.26
266,ampere_sgemm_128x32_tn,89.15,108,80.37,2.44,45.63,50,0.13,96.96
267,ampere_sgemm_64x32_sliced1x4_nt,92.96,108,53.01,6.38,23.88,25,0.08,82.74
268,reduce_kernel,11.74,108,60.28,60.28,57.10,62.50,4.90,20.88
269,vectorized_elementwise_kernel,0.04,108,0.58,0.21,6.16,100,0,83.74
270,vectorized_elementwise_kernel,7.29,108,43.56,37.39,73.06,100,0,51.93
271,layer_norm_grad_input_kernel_vectorized,37.32,108,66.23,66.23,65.21,75,43.43,53.63
272,GammaBetaBackwardCUDAKernel_32x32,12.12,108,37.71,37.71,49.91,100,0.09,18.19
273,vectorized_elementwise_kernel,6.56,108,73.89,73.89,87.42,100,29.23,41.46
274,vectorized_elementwise_kernel,0.02,108,0.46,0.09,6.19,100,0,90.09
275,vectorized_elementwise_kernel,0.02,108,0.49,0.09,6.19,100,0,89.00
276,vectorized_elementwise_kernel,15.41,108,69.61,69.61,85.11,100,0,54.22
277,ampere_sgemm_128x32_tn,87.74,108,80.19,2.46,45.64,50,0.53,97.34
278,ampere_sgemm_64x32_sliced1x4_nt,82.28,108,46.89,5.97,20.84,25,0.08,81.41
279,reduce_kernel,9.16,108,33.03,33.03,40.97,62.50,8.27,7.08
280,vectorized_elementwise_kernel,0.02,108,0.70,0.09,6.19,100,0,91.14
281,vectorized_elementwise_kernel,4.00,108,18.50,18.44,42.25,100,0,53.11
282,vectorized_elementwise_kernel,6.44,108,75.45,75.45,87.73,100,0,45.82
283,reduce_kernel,76.07,108,24.02,24.02,90.18,100,10.44,8.51
284,elementwise_kernel,6.19,108,12.09,3.26,20.46,100,0,86.30
285,vectorized_elementwise_kernel,14.50,108,24.16,4.47,9.47,100,0,100.03
286,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,36.62,108,29.88,11.24,12.18,12.50,16.96,81.53
287,CatArrayBatchedCopy_aligned16_contig,58.40,108,75.93,75.93,90.90,100,60.00,62.64
288,ampere_sgemm_128x32_tn,88.77,108,80.15,2.25,45.64,50,0.18,97.18
289,ampere_sgemm_128x32_sliced1x4_nt,98.07,108,40.39,4.94,12.50,12.50,0,85.31
290,reduce_kernel,12.24,108,52.27,52.27,55.92,62.50,6.38,19.47
291,vectorized_elementwise_kernel,0.04,108,0.60,0.18,6.13,100,0,83.62
292,vectorized_elementwise_kernel,6.53,108,39.52,33.72,66.63,100,0,52.21
293,layer_norm_grad_input_kernel_vectorized,37.47,108,65.29,65.29,65.29,75,44.47,54.77
294,GammaBetaBackwardCUDAKernel_32x32,12.23,108,38.45,38.45,49.91,100,0.09,18.94
295,vectorized_elementwise_kernel,6.58,108,72.75,72.75,87.67,100,29.26,41.24
296,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100,0,90.33
297,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.19,100,0,90.26
298,vectorized_elementwise_kernel,15.23,108,69.72,69.72,84.72,100,0,54.40
299,ampere_sgemm_128x64_tn,95.87,108,48.16,2.05,23.96,25,0.37,98.57
300,ampere_sgemm_128x128_nt,98.49,108,31.89,3.99,23.45,25,0.04,77.89
301,reduce_kernel,9.44,108,33.86,33.86,41.95,62.50,8.28,7.12
302,vectorized_elementwise_kernel,0.02,108,0.49,0.09,6.21,100,0,88.48
303,vectorized_elementwise_kernel,7.14,108,37.67,37.67,74.48,100,0,51.76
304,vectorized_elementwise_kernel,6.45,108,87.08,87.08,92.14,100,0,49.18
305,vectorized_elementwise_kernel,6.47,108,87.19,87.19,92.53,100,0,48.86
306,vectorized_elementwise_kernel,7.86,108,87.51,87.51,92.18,100,0,48.70
307,vectorized_elementwise_kernel,8.59,108,84.83,84.83,88.64,100,0,61.22
308,vectorized_elementwise_kernel,8.57,108,84.55,84.55,88.58,100,0,61.62
309,vectorized_elementwise_kernel,8.58,108,83.91,83.91,88.41,100,0,61.45
310,vectorized_elementwise_kernel,8.66,108,84.56,84.56,88.54,100,0,61.73
311,vectorized_elementwise_kernel,6.46,108,87.39,87.39,92.57,100,0,48.66
312,vectorized_elementwise_kernel,6.45,108,86.53,86.53,91.81,100,27.46,44.24
313,vectorized_elementwise_kernel,8.60,108,84.51,84.51,88.65,100,0,62.29
314,vectorized_elementwise_kernel,6.47,108,86.60,86.60,91.90,100,27.49,44.19
315,ampere_sgemm_128x32_tn,89.04,108,80.28,2.44,45.63,50,0.13,96.88
316,ampere_sgemm_64x32_sliced1x4_nt,92.94,108,53.00,6.37,23.88,25,0.08,82.88
317,reduce_kernel,11.59,108,58.73,58.73,56.27,62.50,4.90,21.01
318,vectorized_elementwise_kernel,0.04,108,0.59,0.21,6.17,100,0,85.08
319,vectorized_elementwise_kernel,7.19,108,36.94,36.94,73.42,100,0,51.59
320,layer_norm_grad_input_kernel_vectorized,37.28,108,65.22,65.22,65.27,75,44.22,53.68
321,GammaBetaBackwardCUDAKernel_32x32,12.31,108,38.54,38.54,49.91,100,0.09,18.33
322,vectorized_elementwise_kernel,6.59,108,73.26,73.26,88.27,100,29.02,40.59
323,vectorized_elementwise_kernel,0.02,108,0.49,0.09,6.19,100,0,90.29
324,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.21,100,0,88.26
325,vectorized_elementwise_kernel,15.61,108,67.48,67.48,85.09,100,0,54.55
326,ampere_sgemm_128x32_tn,87.78,108,80.23,2.46,45.64,50,0.52,97.40
327,ampere_sgemm_64x32_sliced1x4_nt,82.10,108,46.79,5.98,20.85,25,0.08,81.43
328,reduce_kernel,9.55,108,33.68,33.68,41.57,62.50,8.28,6.82
329,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.21,100,0,88.32
330,vectorized_elementwise_kernel,4.03,108,19.04,18.93,42.33,100,0,53.39
331,vectorized_elementwise_kernel,6.46,108,75.67,75.67,88.31,100,0,46.13
332,reduce_kernel,75.76,108,24.01,24.01,90.21,100,10.44,8.85
333,elementwise_kernel,6.10,108,12.42,3.24,20.37,100,0,86.36
334,vectorized_elementwise_kernel,14.50,108,24.13,4.46,9.30,100,0,100.07
335,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,37.28,108,30.38,11.69,12.16,12.50,17.03,81.41
336,CatArrayBatchedCopy_aligned16_contig,58.42,108,75.58,75.58,90.91,100,60.00,62.86
337,ampere_sgemm_128x32_tn,88.67,108,80.06,2.25,45.65,50,0.18,97.19
338,ampere_sgemm_128x32_sliced1x4_nt,98.07,108,40.39,4.94,12.50,12.50,0,85.40
339,reduce_kernel,12.03,108,52.24,52.24,56.26,62.50,6.39,19.67
340,vectorized_elementwise_kernel,0.04,108,0.57,0.18,6.18,100,0,81.34
341,vectorized_elementwise_kernel,6.69,108,32.69,32.69,66.65,100,0,52.28
342,layer_norm_grad_input_kernel_vectorized,38.04,108,65.75,65.75,65.24,75,44.23,54.61
343,GammaBetaBackwardCUDAKernel_32x32,11.94,108,38.52,38.52,49.92,100,0.09,19.14
344,vectorized_elementwise_kernel,6.61,108,72.71,72.71,88.54,100,29.31,40.41
345,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.19,100,0,89.58
346,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.19,100,0,88.69
347,vectorized_elementwise_kernel,15.44,108,68.81,68.81,84.71,100,0,54.78
348,ampere_sgemm_128x64_tn,95.87,108,48.15,2.05,23.96,25,0.37,98.58
349,ampere_sgemm_128x128_nt,98.47,108,31.88,3.98,23.45,25,0.05,77.83
350,reduce_kernel,9.49,108,32.91,32.91,41.43,62.50,8.27,7.38
351,vectorized_elementwise_kernel,0.02,108,0.71,0.09,6.20,100,0,91.11
352,vectorized_elementwise_kernel,6.90,108,38.31,38.31,72.99,100,0,52.01
353,vectorized_elementwise_kernel,6.47,108,87.58,87.58,92.03,100,0,49.06
354,vectorized_elementwise_kernel,6.47,108,87.77,87.77,92.08,100,0,48.83
355,vectorized_elementwise_kernel,7.84,108,87.57,87.57,91.92,100,0,48.74
356,vectorized_elementwise_kernel,8.57,108,84.76,84.76,88.73,100,0,61.31
357,vectorized_elementwise_kernel,8.59,108,84.75,84.75,88.52,100,0,61.66
358,vectorized_elementwise_kernel,8.54,108,83.53,83.53,88.56,100,0,61.44
359,vectorized_elementwise_kernel,8.64,108,84.61,84.61,88.91,100,0,61.55
360,vectorized_elementwise_kernel,6.49,108,87.43,87.43,92.09,100,0,48.75
361,vectorized_elementwise_kernel,6.47,108,86.02,86.02,91.86,100,27.65,44.21
362,vectorized_elementwise_kernel,8.59,108,84.70,84.70,88.67,100,0,61.77
363,vectorized_elementwise_kernel,6.47,108,86.42,86.42,91.90,100,27.73,44.25
364,ampere_sgemm_128x32_tn,89.05,108,80.29,2.44,45.63,50,0.13,96.81
365,ampere_sgemm_64x32_sliced1x4_nt,92.94,108,53.00,6.38,23.89,25,0.08,82.71
366,reduce_kernel,11.38,108,63.37,63.37,58.78,62.50,4.90,21.05
367,vectorized_elementwise_kernel,0.04,108,0.60,0.22,6.18,100,0,79.29
368,vectorized_elementwise_kernel,7.24,108,37.83,37.83,74.12,100,0,51.35
369,layer_norm_grad_input_kernel_vectorized,37.49,108,65.87,65.87,65.19,75,44.39,54.40
370,GammaBetaBackwardCUDAKernel_32x32,12.11,108,38.21,38.21,49.91,100,0.09,18.38
371,vectorized_elementwise_kernel,6.54,108,73.29,73.29,88.02,100,29.34,40.87
372,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.17,100,0,89.51
373,vectorized_elementwise_kernel,0.02,108,0.51,0.10,6.03,100,0,89.43
374,vectorized_elementwise_kernel,15.64,108,68.29,68.29,84.38,100,0,54.51
375,ampere_sgemm_128x32_tn,87.77,108,80.22,2.45,45.63,50,0.52,97.38
376,ampere_sgemm_64x32_sliced1x4_nt,82.02,108,46.74,6.00,20.82,25,0.08,81.42
377,reduce_kernel,9.45,108,33.75,33.75,41.48,62.50,8.31,6.93
378,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.21,100,0,89.11
379,vectorized_elementwise_kernel,4.01,108,18.60,18.51,43.30,100,0,54.03
380,vectorized_elementwise_kernel,6.46,108,75.42,75.42,87.72,100,0,46.12
381,reduce_kernel,76.02,108,24.07,24.07,90.18,100,10.44,8.68
382,elementwise_kernel,6.02,108,12.41,3.24,20.36,100,0,86.76
383,vectorized_elementwise_kernel,14.50,108,24.14,4.45,9.46,100,0,98.31
384,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,37.02,108,30.17,11.18,12.15,12.50,17.09,81.86
385,CatArrayBatchedCopy_aligned16_contig,58.16,108,75.54,75.54,90.81,100,60.00,62.81
386,ampere_sgemm_128x32_tn,88.64,108,80.03,2.26,45.64,50,0.17,97.13
387,ampere_sgemm_128x32_sliced1x4_nt,98.08,108,40.39,4.94,12.50,12.50,0,84.71
388,reduce_kernel,12.40,108,53.53,53.53,56.66,62.50,6.37,19.67
389,vectorized_elementwise_kernel,0.04,108,0.57,0.17,6.20,100,0,84.95
390,vectorized_elementwise_kernel,6.45,108,33.40,33.40,66.49,100,0,51.74
391,layer_norm_grad_input_kernel_vectorized,37.46,108,65.61,65.61,65.20,75,44.48,53.99
392,GammaBetaBackwardCUDAKernel_32x32,12.15,108,38.44,38.44,49.91,100,0.09,18.96
393,vectorized_elementwise_kernel,6.64,108,73.62,73.62,88.01,100,29.07,40.95
394,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.16,100,0,89.10
395,vectorized_elementwise_kernel,0.02,108,0.71,0.09,6.19,100,0,89.64
396,vectorized_elementwise_kernel,15.51,108,68.30,68.30,84.83,100,0,54.55
397,ampere_sgemm_128x64_tn,95.89,108,48.17,2.06,23.96,25,0.37,98.57
398,ampere_sgemm_128x128_nt,98.47,108,31.89,3.97,23.45,25,0.04,78.14
399,reduce_kernel,9.29,108,33.48,33.48,41.58,62.50,8.28,7.29
400,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.21,100,0,89.57
401,vectorized_elementwise_kernel,7.36,108,36.59,36.59,73.15,100,0,52.19
402,vectorized_elementwise_kernel,6.48,108,87.33,87.33,92.04,100,0,49.26
403,vectorized_elementwise_kernel,6.46,108,87.22,87.22,92.02,100,0,48.66
404,vectorized_elementwise_kernel,7.84,108,87.14,87.14,92.05,100,0,48.97
405,vectorized_elementwise_kernel,8.62,108,84.77,84.77,88.57,100,0,61.47
406,vectorized_elementwise_kernel,8.60,108,84.66,84.66,88.81,100,0,61.34
407,vectorized_elementwise_kernel,8.49,108,83.88,83.88,88.63,100,0,61.37
408,vectorized_elementwise_kernel,8.63,108,84.74,84.74,89.50,100,0,61.75
409,vectorized_elementwise_kernel,6.49,108,86.79,86.79,92.10,100,0,48.58
410,vectorized_elementwise_kernel,6.44,108,86.52,86.52,91.89,100,27.64,44.37
411,vectorized_elementwise_kernel,8.62,108,84.49,84.49,88.68,100,0,61.92
